"draw","parameter","value"
447,"kb",2.52114
447,"kc",2.47133
447,"kd",0.333625
447,"kv",1.81361
447,"phi0",0.720865
447,"phi1",0.0011635
447,"theta0",0.0562484
447,"theta1",0.0001051
447,"ub",5.53224
447,"uc",4.31025
447,"uv",10.8471
447,"ud",7.75009
448,"ib0",52.0922
448,"ic0",17.76301
448,"id0",3.130733
448,"iv0",0.9774428
448,"pcm",0.865454
448,"pvm",0.279606
448,"ad",7336.98
448,"av",2542.02
448,"b0",0.545498
448,"cd",0.0801689
448,"cu",0.0070225
448,"rm",60.84
448,"d1",0.191793
448,"du",110.496
448,"rvm",78.9012
448,"fd0",0.0057944
448,"fv0",0.0349323
448,"gamma1",2.53876
448,"gammad",5.25348
448,"gammav",3.2819
448,"kb",2.55784
448,"kc",2.45495
448,"kd",0.521758
448,"kv",1.7129
448,"phi0",0.925681
448,"phi1",0.000352
448,"theta0",0.0739891
448,"theta1",0.0001981
448,"ub",4.79086
448,"uc",4.22615
448,"uv",9.04493
448,"ud",5.71779
449,"ib0",44.20092
449,"ic0",19.25312
449,"id0",4.958445
449,"iv0",0.8808613
449,"pcm",0.654083
449,"pvm",0.147146
449,"ad",7072.73
449,"av",1867.28
449,"b0",0.564951
449,"cd",0.0714571
449,"cu",0.0019657
449,"rm",76.6571
449,"d1",0.119692
449,"du",132.565
449,"rvm",92.4666
449,"fd0",0.0023881
449,"fv0",0.207026
449,"gamma1",1.82403
449,"gammad",4.74156
449,"gammav",3.08732
449,"kb",2.58146
449,"kc",2.22283
449,"kd",0.467431
449,"kv",1.89008
449,"phi0",0.73393
449,"phi1",0.000512
449,"theta0",0.0958172
449,"theta1",0.0001204
449,"ub",7.57313
449,"uc",5.60645
449,"uv",8.51821
449,"ud",7.35664
450,"ib0",54.53881
450,"ic0",14.54039
450,"id0",1.365054
450,"iv0",0.7234213
450,"pcm",0.777046
450,"pvm",0.175926
450,"ad",8330.32
450,"av",3250.11
450,"b0",0.480161
450,"cd",0.0669844
450,"cu",0.0030815
450,"rm",64.8464
450,"d1",0.177315
450,"du",109.074
450,"rvm",79.3294
450,"fd0",0.0109919
450,"fv0",0.159326
450,"gamma1",0.924688
450,"gammad",4.53777
450,"gammav",4.20199
450,"kb",2.51539
450,"kc",2.21224
450,"kd",0.506941
450,"kv",1.9958
450,"phi0",0.835943
450,"phi1",8.66e-05
450,"theta0",0.139519
450,"theta1",5.31e-05
450,"ub",9.55309
450,"uc",8.34749
450,"uv",8.2732
450,"ud",11.6991
451,"ib0",73.40925
451,"ic0",16.90908
451,"id0",2.927984
451,"iv0",1.355939
451,"pcm",0.777304
451,"pvm",0.209581
451,"ad",7818.05
451,"av",2009.26
451,"b0",0.582517
451,"cd",0.0431432
451,"cu",0.0069385
451,"rm",69.4058
451,"d1",0.245728
451,"du",116.701
451,"rvm",86.977
451,"fd0",0.0134768
451,"fv0",0.233813
451,"gamma1",0.774008
451,"gammad",5.56715
451,"gammav",3.34041
451,"kb",2.3327
451,"kc",2.58757
451,"kd",0.608707
451,"kv",1.86277
451,"phi0",0.757513
451,"phi1",0.0025475
451,"theta0",0.113359
451,"theta1",8.5e-06
451,"ub",3.28956
451,"uc",8.13745
451,"uv",5.34496
451,"ud",5.61332
452,"ib0",42.66197
452,"ic0",18.04807
452,"id0",1.729026
452,"iv0",1.628189
452,"pcm",0.617011
452,"pvm",0.299132
452,"ad",8493.33
452,"av",1354.56
452,"b0",0.68382
452,"cd",0.0675125
452,"cu",0.002775
452,"rm",72.6417
452,"d1",0.166396
452,"du",97.7571
452,"rvm",78.7177
452,"fd0",0.005094
452,"fv0",0.076017
452,"gamma1",2.17367
452,"gammad",3.72563
452,"gammav",1.69709
452,"kb",2.30713
452,"kc",2.37188
452,"kd",0.486277
452,"kv",2.23213
452,"phi0",0.748059
452,"phi1",0.0008829
452,"theta0",0.0721271
452,"theta1",0.0001217
452,"ub",6.98158
452,"uc",5.53876
452,"uv",13.7415
452,"ud",17.8634
453,"ib0",46.29014
453,"ic0",18.66164
453,"id0",0.1719045
453,"iv0",0.8099744
453,"pcm",0.854345
453,"pvm",0.140012
453,"ad",8013.54
453,"av",2392.7
453,"b0",0.57152
453,"cd",0.0592417
453,"cu",0.000516
453,"rm",65.566
453,"d1",0.164469
453,"du",95.6504
453,"rvm",103.547
453,"fd0",0.0040024
453,"fv0",0.143946
453,"gamma1",1.01184
453,"gammad",5.01733
453,"gammav",1.97705
453,"kb",2.05363
453,"kc",2.4699
453,"kd",0.310349
453,"kv",1.84565
453,"phi0",0.90575
453,"phi1",0.0011645
453,"theta0",0.128949
453,"theta1",2.62e-05
453,"ub",7.03994
453,"uc",7.94485
453,"uv",9.40282
453,"ud",5.9744
454,"ib0",92.06702
454,"ic0",16.75094
454,"id0",1.409501
454,"iv0",2.674822
454,"pcm",0.725934
454,"pvm",0.164986
454,"ad",7640.87
454,"av",4157.2
454,"b0",0.635902
454,"cd",0.0477488
454,"cu",0.0071757
454,"rm",64.2619
454,"d1",0.222411
454,"du",101.303
454,"rvm",83.0675
454,"fd0",0.0147359
454,"fv0",0.289405
454,"gamma1",1.74818
454,"gammad",5.31105
454,"gammav",2.91088
454,"kb",1.36678
454,"kc",2.00959
454,"kd",0.508202
454,"kv",2.3636
454,"phi0",0.7677
454,"phi1",0.0004829
454,"theta0",0.036497
454,"theta1",0.0001311
454,"ub",4.71955
454,"uc",5.21769
454,"uv",14.2825
454,"ud",14.0378
455,"ib0",44.05988
455,"ic0",23.46505
455,"id0",7.282487
455,"iv0",0.8032154
455,"pcm",0.998045
455,"pvm",0.214718
455,"ad",7268.62
455,"av",2792.63
455,"b0",0.713323
455,"cd",0.0618033
455,"cu",0.0002722
455,"rm",64.1514
455,"d1",0.195908
455,"du",131.736
455,"rvm",65.032
455,"fd0",0.0044687
455,"fv0",0.0741476
455,"gamma1",1.79238
455,"gammad",4.54408
455,"gammav",2.30872
455,"kb",2.37869
455,"kc",2.25743
455,"kd",0.60186
455,"kv",1.71818
455,"phi0",0.716665
455,"phi1",0.0003788
455,"theta0",0.0556504
455,"theta1",8.06e-05
455,"ub",6.67983
455,"uc",4.30156
455,"uv",1.01263
455,"ud",12.2992
456,"ib0",21.53128
456,"ic0",23.01723
456,"id0",4.642241
456,"iv0",2.037733
456,"pcm",0.856841
456,"pvm",0.167933
456,"ad",7885.38
456,"av",2258.1
456,"b0",0.900744
456,"cd",0.0546426
456,"cu",0.0040173
456,"rm",69.256
456,"d1",0.150482
456,"du",125.399
456,"rvm",68.7427
456,"fd0",0.0104351
456,"fv0",0.0717181
456,"gamma1",1.30895
456,"gammad",4.47062
456,"gammav",3.29935
456,"kb",1.98585
456,"kc",2.58429
456,"kd",0.45725
456,"kv",2.00282
456,"phi0",0.772535
456,"phi1",0.0017596
456,"theta0",0.0393811
456,"theta1",0.0002996
456,"ub",8.08479
456,"uc",5.91465
456,"uv",3.47007
456,"ud",12.1105
457,"ib0",34.17175
457,"ic0",12.43186
457,"id0",1.916354
457,"iv0",2.645971
457,"pcm",0.86947
457,"pvm",0.11115
457,"ad",8121.84
457,"av",2939.81
457,"b0",0.627436
457,"cd",0.0480715
457,"cu",0.0141922
457,"rm",64.2158
457,"d1",0.182265
457,"du",109.229
457,"rvm",104.083
457,"fd0",0.0088207
457,"fv0",0.303534
457,"gamma1",4.8011
457,"gammad",4.86518
457,"gammav",2.46995
457,"kb",1.60798
457,"kc",2.31275
457,"kd",0.401473
457,"kv",2.69271
457,"phi0",0.849088
457,"phi1",0.0019584
457,"theta0",0.0546959
457,"theta1",0.0002465
457,"ub",4.33413
457,"uc",8.36943
457,"uv",7.40067
457,"ud",7.03544
458,"ib0",30.65371
458,"ic0",19.8359
458,"id0",2.251299
458,"iv0",0.654372
458,"pcm",0.802762
458,"pvm",0.268975
458,"ad",7456.96
458,"av",2662.14
458,"b0",0.730743
458,"cd",0.064401
458,"cu",0.0097667
458,"rm",66.1248
458,"d1",0.134636
458,"du",122.49
458,"rvm",63.6583
458,"fd0",0.0120068
458,"fv0",0.0935471
458,"gamma1",2.89707
458,"gammad",5.23413
458,"gammav",3.35414
458,"kb",2.1414
458,"kc",2.44712
458,"kd",0.380966
458,"kv",1.68907
458,"phi0",0.765862
458,"phi1",0.003187
458,"theta0",0.106329
458,"theta1",7.8e-05
458,"ub",8.92348
458,"uc",6.92363
458,"uv",16.266
458,"ud",9.06596
459,"ib0",47.15937
459,"ic0",28.56493
459,"id0",4.476321
459,"iv0",3.534923
459,"pcm",0.64911
459,"pvm",0.206189
459,"ad",7674.99
459,"av",1777.96
459,"b0",0.778856
459,"cd",0.0837905
459,"cu",0.0010067
459,"rm",73.3994
459,"d1",0.115196
459,"du",97.0164
459,"rvm",76.9689
459,"fd0",0.0050626
459,"fv0",0.214319
459,"gamma1",1.49638
459,"gammad",4.26376
459,"gammav",4.27002
459,"kb",2.03079
459,"kc",2.42711
459,"kd",0.421614
459,"kv",2.65609
459,"phi0",0.549149
459,"phi1",4e-05
459,"theta0",0.0346024
459,"theta1",0.0003277
459,"ub",7.6038
459,"uc",5.16489
459,"uv",16.1161
459,"ud",12.547
460,"ib0",60.74678
460,"ic0",13.3388
460,"id0",2.331554
460,"iv0",1.09638
460,"pcm",0.598429
460,"pvm",0.146351
460,"ad",7404.46
460,"av",2784.38
460,"b0",0.579759
460,"cd",0.0778645
460,"cu",0.0045965
460,"rm",73.1129
460,"d1",0.162057
460,"du",109.289
460,"rvm",109.558
460,"fd0",0.0111151
460,"fv0",0.20156
460,"gamma1",0.67308
460,"gammad",5.73994
460,"gammav",1.76845
460,"kb",1.52367
460,"kc",2.25118
460,"kd",0.530109
460,"kv",2.16732
460,"phi0",0.656887
460,"phi1",0.0008566
460,"theta0",0.128728
460,"theta1",6.14e-05
460,"ub",5.09819
460,"uc",8.90115
460,"uv",24.5577
460,"ud",8.07658
461,"ib0",48.74181
461,"ic0",20.84361
461,"id0",2.791703
461,"iv0",0.8680782
461,"pcm",0.858894
461,"pvm",0.169365
461,"ad",8105.3
461,"av",2274.64
461,"b0",0.533634
461,"cd",0.0980498
461,"cu",0.0175054
461,"rm",65.442
461,"d1",0.179081
461,"du",118.056
461,"rvm",94.2477
461,"fd0",0.0045475
461,"fv0",0.156238
461,"gamma1",6.29142
461,"gammad",4.45462
461,"gammav",2.74313
461,"kb",2.51141
461,"kc",2.75998
461,"kd",0.619038
461,"kv",2.02081
461,"phi0",0.732205
461,"phi1",0.0008043
461,"theta0",0.100691
461,"theta1",3.14e-05
461,"ub",4.46265
461,"uc",6.59546
461,"uv",17.8474
461,"ud",14.0039
462,"ib0",30.17496
462,"ic0",20.21412
462,"id0",1.360138
462,"iv0",0.4584157
462,"pcm",0.830279
462,"pvm",0.243678
462,"ad",8222.54
462,"av",2537.89
462,"b0",0.68318
462,"cd",0.0518709
462,"cu",0.0077728
462,"rm",68.808
462,"d1",0.154835
462,"du",89.9566
462,"rvm",58.7601
462,"fd0",0.0081113
462,"fv0",0.0974671
462,"gamma1",1.55837
462,"gammad",4.64327
462,"gammav",3.40743
462,"kb",2.57736
462,"kc",2.70188
462,"kd",0.472703
462,"kv",1.60991
462,"phi0",0.624945
462,"phi1",0.001598
462,"theta0",0.112928
462,"theta1",4.74e-05
462,"ub",8.26305
462,"uc",5.92685
462,"uv",7.86323
462,"ud",7.74986
463,"ib0",42.9884
463,"ic0",16.20235
463,"id0",10.90986
463,"iv0",0.8345062
463,"pcm",0.606649
463,"pvm",0.203561
463,"ad",8219.32
463,"av",2347.86
463,"b0",0.440827
463,"cd",0.0935001
463,"cu",0.0048724
463,"rm",74.7779
463,"d1",0.159572
463,"du",109.344
463,"rvm",78.461
463,"fd0",0.0095208
463,"fv0",0.221472
463,"gamma1",2.28686
463,"gammad",4.89821
463,"gammav",4.72316
463,"kb",2.38773
463,"kc",2.39854
463,"kd",0.786722
463,"kv",1.75108
463,"phi0",0.778879
463,"phi1",0.0002082
463,"theta0",0.0897048
463,"theta1",3.11e-05
463,"ub",7.6824
463,"uc",2.18879
463,"uv",11.1517
463,"ud",4.66281
464,"ib0",112.5981
464,"ic0",36.79639
464,"id0",7.010737
464,"iv0",1.073661
464,"pcm",0.973333
464,"pvm",0.14805
464,"ad",7136.8
464,"av",2105.25
464,"b0",0.989847
464,"cd",0.100476
464,"cu",0.0069415
464,"rm",57.0081
464,"d1",0.201815
464,"du",110.317
464,"rvm",69.5216
464,"fd0",0.0160196
464,"fv0",0.225945
464,"gamma1",1.94035
464,"gammad",5.59901
464,"gammav",1.95672
464,"kb",1.15234
464,"kc",2.3719
464,"kd",0.557753
464,"kv",1.75373
464,"phi0",0.582194
464,"phi1",0.0003854
464,"theta0",0.129671
464,"theta1",1.33e-05
464,"ub",4.76333
464,"uc",1.7402
464,"uv",0.855581
464,"ud",14.1552
465,"ib0",48.61631
465,"ic0",17.06322
465,"id0",1.554013
465,"iv0",1.342659
465,"pcm",0.776296
465,"pvm",0.171318
465,"ad",7338.2
465,"av",2847.68
465,"b0",0.699209
465,"cd",0.0738789
465,"cu",0.0076536
465,"rm",64.4789
465,"d1",0.126341
465,"du",103.374
465,"rvm",107.086
465,"fd0",0.0011668
465,"fv0",0.301791
465,"gamma1",2.16539
465,"gammad",4.85534
465,"gammav",2.0906
465,"kb",2.91793
465,"kc",2.05721
465,"kd",0.261722
465,"kv",2.43311
465,"phi0",0.668912
465,"phi1",0.0001848
465,"theta0",0.0509451
465,"theta1",0.0001153
465,"ub",5.85884
465,"uc",7.12498
465,"uv",52.0939
465,"ud",2.48409
466,"ib0",63.70197
466,"ic0",20.72507
466,"id0",2.65149
466,"iv0",0.9037885
466,"pcm",0.657376
466,"pvm",0.130507
466,"ad",7348.03
466,"av",2843.32
466,"b0",0.728566
466,"cd",0.0579426
466,"cu",0.0113934
466,"rm",76.7278
466,"d1",0.108705
466,"du",107.632
466,"rvm",100.956
466,"fd0",0.0226499
466,"fv0",0.196495
466,"gamma1",1.06138
466,"gammad",5.26469
466,"gammav",4.33693
466,"kb",2.13846
466,"kc",2.47094
466,"kd",0.364976
466,"kv",2.17088
466,"phi0",0.799776
466,"phi1",0.0016471
466,"theta0",0.120319
466,"theta1",1.89e-05
466,"ub",2.7138
466,"uc",8.3771
466,"uv",13.6459
466,"ud",9.98899
467,"ib0",22.62347
467,"ic0",15.63063
467,"id0",3.225701
467,"iv0",0.6666361
467,"pcm",0.690032
467,"pvm",0.184337
467,"ad",6929.8
467,"av",2794.79
467,"b0",0.440095
467,"cd",0.100731
467,"cu",0.0070689
467,"rm",78.3974
467,"d1",0.159957
467,"du",105.484
467,"rvm",77.3383
467,"fd0",0.0080065
467,"fv0",0.233084
467,"gamma1",1.17419
467,"gammad",5.44449
467,"gammav",4.01442
467,"kb",3.44781
467,"kc",2.63999
467,"kd",0.56569
467,"kv",2.02207
467,"phi0",0.812704
467,"phi1",0.0004652
467,"theta0",0.184207
467,"theta1",2.73e-05
467,"ub",8.55606
467,"uc",8.80013
467,"uv",9.34654
467,"ud",9.55517
468,"ib0",79.27618
468,"ic0",23.51588
468,"id0",3.532822
468,"iv0",0.7617413
468,"pcm",0.883993
468,"pvm",0.195976
468,"ad",9619.43
468,"av",2949.09
468,"b0",0.555087
468,"cd",0.0562635
468,"cu",0.0200906
468,"rm",62.2529
468,"d1",0.217192
468,"du",128.495
468,"rvm",71.579
468,"fd0",0.0049289
468,"fv0",0.147739
468,"gamma1",2.93709
468,"gammad",5.37632
468,"gammav",2.54956
468,"kb",2.77108
468,"kc",2.63041
468,"kd",0.916193
468,"kv",1.71277
468,"phi0",0.849429
468,"phi1",0.0019051
468,"theta0",0.0974685
468,"theta1",6.31e-05
468,"ub",3.24309
468,"uc",7.09171
468,"uv",9.28148
468,"ud",6.86449
469,"ib0",49.65173
469,"ic0",19.62492
469,"id0",0.9378666
469,"iv0",1.319683
469,"pcm",0.661114
469,"pvm",0.216346
469,"ad",8814.89
469,"av",2546.22
469,"b0",0.766279
469,"cd",0.0891436
469,"cu",0.0023179
469,"rm",72.3481
469,"d1",0.217343
469,"du",121.264
469,"rvm",74.8231
469,"fd0",0.0040964
469,"fv0",0.174794
469,"gamma1",2.44011
469,"gammad",4.62227
469,"gammav",3.04359
469,"kb",1.75934
469,"kc",1.88907
469,"kd",0.516085
469,"kv",1.89195
469,"phi0",0.621127
469,"phi1",1.44e-05
469,"theta0",0.0608437
469,"theta1",8.35e-05
469,"ub",3.65633
469,"uc",3.22592
469,"uv",8.33161
469,"ud",5.58097
470,"ib0",43.2737
470,"ic0",18.21796
470,"id0",4.960782
470,"iv0",1.143255
470,"pcm",0.855271
470,"pvm",0.222342
470,"ad",8103.75
470,"av",3026.22
470,"b0",0.658986
470,"cd",0.0713325
470,"cu",0.0041753
470,"rm",63.8701
470,"d1",0.220699
470,"du",92.9455
470,"rvm",77.621
470,"fd0",0.0079434
470,"fv0",0.104912
470,"gamma1",0.727266
470,"gammad",5.56783
470,"gammav",2.5719
470,"kb",1.85545
470,"kc",2.1824
470,"kd",0.809569
470,"kv",1.91856
470,"phi0",0.75298
470,"phi1",0.0003293
470,"theta0",0.0560329
470,"theta1",8.48e-05
470,"ub",11.2931
470,"uc",5.37644
470,"uv",11.3775
470,"ud",9.49246
471,"ib0",38.07945
471,"ic0",30.13098
471,"id0",0.8854538
471,"iv0",1.893983
471,"pcm",0.88223
471,"pvm",0.18444
471,"ad",8014.21
471,"av",1986.19
471,"b0",0.842225
471,"cd",0.0635243
471,"cu",0.0085391
471,"rm",64.7799
471,"d1",0.220399
471,"du",106.784
471,"rvm",92.9385
471,"fd0",0.0086892
471,"fv0",0.217589
471,"gamma1",2.92127
471,"gammad",5.18011
471,"gammav",3.74555
471,"kb",1.81737
471,"kc",2.36875
471,"kd",0.468296
471,"kv",2.34459
471,"phi0",0.740685
471,"phi1",0.0002482
471,"theta0",0.059942
471,"theta1",6.95e-05
471,"ub",11.4756
471,"uc",3.94552
471,"uv",19.789
471,"ud",17.0689
472,"ib0",20.32102
472,"ic0",28.32312
472,"id0",1.215007
472,"iv0",0.8493718
472,"pcm",0.765212
472,"pvm",0.273118
472,"ad",8852.55
472,"av",3176.16
472,"b0",0.814516
472,"cd",0.0371214
472,"cu",0.0091722
472,"rm",71.8484
472,"d1",0.23518
472,"du",94.8735
472,"rvm",66.4675
472,"fd0",0.0102554
472,"fv0",0.0568698
472,"gamma1",0.754736
472,"gammad",4.17158
472,"gammav",2.50434
472,"kb",2.68142
472,"kc",2.54783
472,"kd",0.542047
472,"kv",1.70059
472,"phi0",0.713379
472,"phi1",0.0006455
472,"theta0",0.0575759
472,"theta1",8.88e-05
472,"ub",11.2235
472,"uc",2.79703
472,"uv",4.18545
472,"ud",12.4559
473,"ib0",31.46424
473,"ic0",16.13379
473,"id0",1.288754
473,"iv0",1.609931
473,"pcm",0.825724
473,"pvm",0.199235
473,"ad",7440.77
473,"av",1821.05
473,"b0",0.692869
473,"cd",0.119898
473,"cu",0.003793
473,"rm",66.3149
473,"d1",0.160113
473,"du",112.463
473,"rvm",68.4962
473,"fd0",0.0151308
473,"fv0",0.11633
473,"gamma1",0.908254
473,"gammad",5.23559
473,"gammav",2.59147
473,"kb",1.62641
473,"kc",2.36213
473,"kd",0.339706
473,"kv",1.88264
473,"phi0",0.699807
473,"phi1",0.0006111
473,"theta0",0.0675228
473,"theta1",7.2e-05
473,"ub",6.25033
473,"uc",9.71609
473,"uv",2.46912
473,"ud",13.7913
474,"ib0",36.87793
474,"ic0",22.14344
474,"id0",4.537463
474,"iv0",0.9762703
474,"pcm",0.905133
474,"pvm",0.177148
474,"ad",6723.64
474,"av",2714
474,"b0",0.767035
474,"cd",0.115277
474,"cu",0.009024
474,"rm",64.7544
474,"d1",0.107339
474,"du",110.608
474,"rvm",83.0021
474,"fd0",0.0187625
474,"fv0",0.383902
474,"gamma1",4.97286
474,"gammad",5.32473
474,"gammav",3.66961
474,"kb",2.333
474,"kc",2.37328
474,"kd",0.452952
474,"kv",2.3124
474,"phi0",0.783136
474,"phi1",0.0011639
474,"theta0",0.0996368
474,"theta1",2.95e-05
474,"ub",4.14862
474,"uc",8.03318
474,"uv",36.1631
474,"ud",23.0503
475,"ib0",22.64993
475,"ic0",21.41416
475,"id0",8.653333
475,"iv0",1.53567
475,"pcm",0.924943
475,"pvm",0.267017
475,"ad",7566.16
475,"av",924.234
475,"b0",0.774422
475,"cd",0.0514538
475,"cu",0.0047172
475,"rm",66.7277
475,"d1",0.198526
475,"du",130.939
475,"rvm",113.855
475,"fd0",0.00348
475,"fv0",0.0952652
475,"gamma1",0.906718
475,"gammad",5.38252
475,"gammav",1.61416
475,"kb",2.26237
475,"kc",2.52681
475,"kd",0.810334
475,"kv",2.35819
475,"phi0",0.705773
475,"phi1",0.0004633
475,"theta0",0.0741092
475,"theta1",0.000136
475,"ub",10.8139
475,"uc",5.84283
475,"uv",37.2285
475,"ud",10.8294
476,"ib0",55.28964
476,"ic0",20.97632
476,"id0",0.5654293
476,"iv0",1.216186
476,"pcm",0.82156
476,"pvm",0.253109
476,"ad",8092.65
476,"av",2259.9
476,"b0",0.514079
476,"cd",0.129105
476,"cu",0.0092885
476,"rm",62.1477
476,"d1",0.117887
476,"du",116.179
476,"rvm",73.7803
476,"fd0",0.0209853
476,"fv0",0.127467
476,"gamma1",6.0895
476,"gammad",4.68976
476,"gammav",3.24113
476,"kb",1.69875
476,"kc",2.61411
476,"kd",0.426279
476,"kv",2.09598
476,"phi0",0.760195
476,"phi1",0.0004001
476,"theta0",0.0460451
476,"theta1",0.0002001
476,"ub",5.71996
476,"uc",3.53513
476,"uv",32.3649
476,"ud",6.22336
477,"ib0",49.12714
477,"ic0",16.36656
477,"id0",2.701814
477,"iv0",0.8563027
477,"pcm",0.589033
477,"pvm",0.165998
477,"ad",8139.92
477,"av",2401.51
477,"b0",0.638501
477,"cd",0.0749523
477,"cu",0.0021142
477,"rm",72.5335
477,"d1",0.0853487
477,"du",114.537
477,"rvm",73.874
477,"fd0",0.013366
477,"fv0",0.182632
477,"gamma1",1.58687
477,"gammad",4.21306
477,"gammav",3.24268
477,"kb",1.95092
477,"kc",2.02032
477,"kd",0.350746
477,"kv",1.90949
477,"phi0",0.601576
477,"phi1",4.52e-05
477,"theta0",0.136102
477,"theta1",5.93e-05
477,"ub",9.20452
477,"uc",4.95872
477,"uv",5.80832
477,"ud",8.86351
478,"ib0",39.62011
478,"ic0",20.94449
478,"id0",3.002217
478,"iv0",0.6007987
478,"pcm",0.664996
478,"pvm",0.196367
478,"ad",8580.73
478,"av",2526.72
478,"b0",0.700711
478,"cd",0.0618432
478,"cu",0.0062506
478,"rm",70.1083
478,"d1",0.12312
478,"du",103.905
478,"rvm",78.8673
478,"fd0",0.0043132
478,"fv0",0.0949812
478,"gamma1",2.60818
478,"gammad",4.37665
478,"gammav",3.11612
478,"kb",2.43603
478,"kc",2.33294
478,"kd",0.469418
478,"kv",1.67205
478,"phi0",0.716444
478,"phi1",0.0010085
478,"theta0",0.113015
478,"theta1",2.23e-05
478,"ub",7.44109
478,"uc",5.72522
478,"uv",4.94828
478,"ud",13.6377
479,"ib0",87.56963
479,"ic0",18.25636
479,"id0",4.384081
479,"iv0",1.332971
479,"pcm",0.514088
479,"pvm",0.12309
479,"ad",8205.84
479,"av",3035.09
479,"b0",0.767288
479,"cd",0.0619562
479,"cu",0.0016619
479,"rm",77.4737
479,"d1",0.174056
479,"du",123.296
479,"rvm",125.888
479,"fd0",0.0126283
479,"fv0",0.260038
479,"gamma1",1.01925
479,"gammad",4.88702
479,"gammav",3.13863
479,"kb",2.48362
479,"kc",1.92157
479,"kd",0.533811
479,"kv",2.28719
479,"phi0",0.642661
479,"phi1",0.0003047
479,"theta0",0.108994
479,"theta1",1.63e-05
479,"ub",3.68429
479,"uc",3.82895
479,"uv",14.9049
479,"ud",9.17661
480,"ib0",50.42275
480,"ic0",21.42022
480,"id0",3.977504
480,"iv0",2.701763
480,"pcm",0.635629
480,"pvm",0.173061
480,"ad",7521.82
480,"av",3771.18
480,"b0",0.624261
480,"cd",0.0455239
480,"cu",0.0108624
480,"rm",75.06
480,"d1",0.160292
480,"du",118.316
480,"rvm",85.9184
480,"fd0",0.0138604
480,"fv0",0.221102
480,"gamma1",5.43397
480,"gammad",5.25269
480,"gammav",1.63124
480,"kb",1.6081
480,"kc",2.78114
480,"kd",0.518455
480,"kv",2.5126
480,"phi0",0.763066
480,"phi1",0.0027002
480,"theta0",0.0475063
480,"theta1",0.0001098
480,"ub",7.7662
480,"uc",6.71235
480,"uv",8.54702
480,"ud",5.67764
481,"ib0",62.63632
481,"ic0",19.65289
481,"id0",2.520633
481,"iv0",1.678377
481,"pcm",0.907736
481,"pvm",0.16766
481,"ad",7945.81
481,"av",2586.95
481,"b0",0.61327
481,"cd",0.0692937
481,"cu",0.0010288
481,"rm",64.2026
481,"d1",0.200444
481,"du",122.696
481,"rvm",78.8867
481,"fd0",0.0041874
481,"fv0",0.291349
481,"gamma1",1.19717
481,"gammad",5.74137
481,"gammav",2.96474
481,"kb",3.04966
481,"kc",2.16945
481,"kd",0.557782
481,"kv",2.15303
481,"phi0",0.60641
481,"phi1",5.75e-05
481,"theta0",0.077217
481,"theta1",4.82e-05
481,"ub",5.02922
481,"uc",6.27643
481,"uv",7.53054
481,"ud",7.53301
482,"ib0",23.03681
482,"ic0",20.18505
482,"id0",0.9961884
482,"iv0",1.151834
482,"pcm",0.773539
482,"pvm",0.189572
482,"ad",8215.45
482,"av",1771.12
482,"b0",0.57761
482,"cd",0.0807286
482,"cu",0.0078947
482,"rm",75.6522
482,"d1",0.145483
482,"du",103.965
482,"rvm",71.125
482,"fd0",0.0033284
482,"fv0",0.131436
482,"gamma1",2.44681
482,"gammad",4.49895
482,"gammav",3.77487
482,"kb",3.04267
482,"kc",2.80376
482,"kd",0.402703
482,"kv",2.08478
482,"phi0",0.759707
482,"phi1",0.0006948
482,"theta0",0.0722856
482,"theta1",0.0001395
482,"ub",11.8189
482,"uc",7.21625
482,"uv",9.19145
482,"ud",16.0164
483,"ib0",42.40407
483,"ic0",19.18579
483,"id0",2.288379
483,"iv0",0.9053962
483,"pcm",0.777223
483,"pvm",0.189149
483,"ad",7704.7
483,"av",3192.35
483,"b0",0.550115
483,"cd",0.0419511
483,"cu",0.0010827
483,"rm",69.1187
483,"d1",0.126656
483,"du",102.351
483,"rvm",62.1501
483,"fd0",0.0008039
483,"fv0",0.164192
483,"gamma1",0.661627
483,"gammad",4.69304
483,"gammav",2.7215
483,"kb",2.33663
483,"kc",2.42479
483,"kd",0.377249
483,"kv",1.93977
483,"phi0",0.58404
483,"phi1",0.0012874
483,"theta0",0.0774292
483,"theta1",0.0001409
483,"ub",5.47892
483,"uc",4.67364
483,"uv",5.85034
483,"ud",3.70489
484,"ib0",33.82717
484,"ic0",14.57011
484,"id0",2.134473
484,"iv0",1.226851
484,"pcm",0.859441
484,"pvm",0.211506
484,"ad",7222.83
484,"av",1821.22
484,"b0",0.466819
484,"cd",0.0623438
484,"cu",0.0099077
484,"rm",65.1611
484,"d1",0.211192
484,"du",131.11
484,"rvm",77.1847
484,"fd0",0.0041544
484,"fv0",0.331404
484,"gamma1",2.94827
484,"gammad",6.32702
484,"gammav",3.04758
484,"kb",1.88603
484,"kc",2.30585
484,"kd",0.544965
484,"kv",2.04856
484,"phi0",0.724672
484,"phi1",0.0006679
484,"theta0",0.11622
484,"theta1",3.86e-05
484,"ub",6.37789
484,"uc",7.29858
484,"uv",17.9882
484,"ud",4.11998
485,"ib0",33.24927
485,"ic0",17.20423
485,"id0",1.217159
485,"iv0",1.769917
485,"pcm",0.902596
485,"pvm",0.170313
485,"ad",8632.75
485,"av",2494.88
485,"b0",0.572749
485,"cd",0.0818484
